Date,Country,Destination,Category,Visitors,Revenue_USD,Average_Rating,Accommodation_Available,Season,Latitude,Longitude
2023-04,France,Paris,Nature,293389,38618510.53,3.4,Yes,Shoulder,48.8566,2.3522
2022-06,UAE,Dubai,Nature,36244,6019567.73,4.3,Yes,Shoulder,25.2048,55.2708
2024-05,Switzerland,Geneva,Urban,236148,89615631.89,3.2,Yes,Shoulder,46.2044,6.1432
2022-10,UAE,Abu Dhabi,Nature,296369,128674183.97,3.8,Yes,Off-Peak,24.4539,54.3773
2025-03,France,Lyon,Urban,365663,138453709.94,4.5,Yes,Off-Peak,45.764,4.8357
2025-01,France,Lyon,Nature,384201,130894045.5,3.3,Yes,Off-Peak,45.764,4.8357
2024-01,France,Nice,Urban,110907,27478519.27,4.7,Yes,Off-Peak,43.7102,7.262
2025-09,Australia,Melbourne,Historical,284946,87016374.11,3.5,Yes,Peak,-37.8136,144.9631
2025-05,Thailand,Phuket,Nature,288060,96012493.02,4.7,Yes,Peak,7.8804,98.3923
2023-06,India,Mumbai,Historical,425651,67279951.59,4.9,No,Peak,19.076,72.8777
2022-10,Thailand,Phuket,Urban,486141,64006888.57,4.5,No,Shoulder,7.8804,98.3923
2023-12,Brazil,Sao Paulo,Nature,423801,190291114.95,3.4,No,Peak,-23.5505,-46.6333
2025-05,India,Jaipur,Adventure,165265,61655308.58,4.0,Yes,Off-Peak,26.9124,75.7873
2024-10,UAE,Sharjah,Urban,495785,217797854.57,4.7,Yes,Shoulder,25.3463,55.4209
2022-08,France,Lyon,Urban,361699,87119957.87,4.0,No,Shoulder,45.764,4.8357
2025-05,Italy,Rome,Nature,317942,43415148.41,4.6,Yes,Shoulder,41.9028,12.4964
2022-08,Australia,Perth,Religious,25422,10299141.0,4.7,No,Peak,-31.9505,115.8605
2022-06,India,Kerala,Historical,599916,210454018.37,4.7,Yes,Peak,10.8505,76.2711
2023-05,Thailand,Chiang Mai,Luxury,178148,77817589.5,4.9,Yes,Shoulder,18.7883,98.9853
2024-05,USA,San Francisco,Wildlife,396559,49479282.08,3.6,No,Peak,37.7749,-122.4194
